,meme_id,plantilla,texto_no_tilde,text_1,text_2
248,008,Matias Prats,ANAHI ORTIZ Y VALERIA SUNTAXI SUPUESTAS AGRESORAS,None,None
249,010,Prepare Yourself,este es el mejor grupo carajo :),None,None
252,004,Bad Luck Brian,Hay que hacer inventario Le llegan 20 descargas,None,None
254,002,Annoying Gamer Kid,voy a ganar yo el sorteooo tengo a los administradores comprados....jejejeje,None,None
256,001,Ancient Aliens,Psicologia in ring,None,None
260,008,Matias Prats,"Ultima hora Se busca La Pony, quiere acabar con Beauty",None,None
263,001,Ancient Aliens,Y le dije mono la tiene asi,None,None
266,001,Ancient Aliens,Y le dije: mono la tiene asi,None,None
268,001,Ancient Aliens,Gordo a vos te gusta Asi de grande,None,None
270,008,Matias Prats,hoy es lunes a joderse,None,None
280,006,Filosoraptor,Si Justin Biber no existiera a quien estarias diciendo gay?,None,None
284,012,Willy Wonka,YO NO ENTIENDO A LAS CHICAS QUE SE PARAN DICIENDO WEBONAS ME PREGUNTO CUAL DE TODAS TENDRÁ HUEVOS,None,None
285,001,Ancient Aliens,psicologia in ring,None,None
290,003,Ay Si,Ay Acordate lo que digo,None,None
299,003,Ay Si,Ay soy nico Y vivo del pasado,None,None
301,001,Ancient Aliens,Es tan raro ver un cuerpo asi De 1500 años y que aun camine,None,None
302,002,Annoying Gamer Kid,mama no soy adicto,None,None
306,002,Annoying Gamer Kid,MAMa no soy adicto,None,None
318,001,Ancient Aliens,Feliz cumpleaños de parte de los aliens,None,None
323,012,Willy Wonka,Busco ami novio Se llama edwars,None,None
325,004,Bad Luck Brian,Cuando te dejan en la friendzone y acabas saliendo con alguien como yo,None,None
328,010,Prepare Yourself,BRACE YOURSELF Leojp IS COMING,None,None
330,004,Bad Luck Brian,probando no funcionaw,None,None
332,001,Ancient Aliens,Tamiya,None,None
334,012,Willy Wonka,DIME QUE SE SE SIENTE QUE EL PAGO NO SEA LÍNEAL?,None,None
336,006,Filosoraptor,Entonces el servicio de toma a las 12 Pero hay que rotar en la tarde,None,None
341,006,Filosoraptor,Entonces el servicio se toma a las 12 Pero hay que rotar en la tarde,None,None
345,009,No me digas,No me digas En la pega daran completo,None,None
346,008,Matias Prats,Se les olvida el cumpleaños del primo Y aparecen quemadas en conce arriba ¡¡saladas!!,None,None
349,012,Willy Wonka,cUANDO LLEGA LA QUE TE CAE MAL : HOLAA PERRA,None,None
350,003,Ay Si,Cuando tiras algo y culpas a tu herman@ Yo no fui,None,None
352,013,Yao Wonka,que chistoso aristobulito,None,None
357,013,Yao Wonka,Que te toco en privados Y todos los pacientes los sigue Rodriguez,None,None
363,001,Ancient Aliens,RUSSULA,None,None
367,010,Prepare Yourself,guardemos un minuto de silencio Por nuestro amigo que no lleva paraguas cuando llueve,None,None
369,008,Matias Prats,That's right My type,None,None
376,012,Willy Wonka,Que se siente Irma... Ser una foca,None,None
378,008,Matias Prats,La Policia tuvo que despejar la via el pescadero llega un camion lleno de anchetas Solicitan que Diana este pendiente .,None,None
384,006,Filosoraptor,Se dice envase con o con base en,None,None
387,004,Bad Luck Brian,HACE MIL PREGUNTAS AL GRUPO Y NO PUEDE JUGAR,None,None
389,004,Bad Luck Brian,HOLA SOY LAURO,None,None
394,004,Bad Luck Brian,Es biologa La mayoria de sus ingresos salen de pinta caritas Safari en fiestas infantiles,None,None
397,008,Matias Prats,Permiteme que insista 00:00,None,None
403,013,Yao Wonka,No te Cague.,None,None
412,012,Willy Wonka,Digame tio que se siente ser producto de unas vacaciones de verano?,None,None
413,008,Matias Prats,Dejame que te recuerde... Como mola futmondo,None,None
414,004,Bad Luck Brian,Todo el año esperando el domingo pa enguacarsen Se emborrachan,None,None
418,004,Bad Luck Brian,Hola soy Oscar Quieres ser mi novio o novia,None,None
426,008,Matias Prats,El loteeeee! Que te vas apegar de llorar,None,None
428,004,Bad Luck Brian,SEE BOTH SIDES BEFORE CROSS STREET AN AIRPLANE FALLS OVER HIM,None,None
429,008,Matias Prats,El loteeeeee! Que te vas a pegar de llorar,None,None
437,002,Annoying Gamer Kid,Mendigos alboroteros van a ver les tomare Video para llevarcelo a mi jefa,None,None
445,008,Matias Prats,Confirmado SoniaB E una agarra,None,None
453,012,Willy Wonka,Estas preciosa en el snapchat.,None,None
456,012,Willy Wonka,Asi que quieres que te arregle el tatuaje que te hizo un amigo bien barato Jajajajajajajajajajaja,None,None
457,008,Matias Prats,"ULTIMA HORA, EL NUEVO VÍDEO DE LA MATERIALISTA UPS, PEDIMOS DISCULPAS NO LO PODEMOS PRESENTAR",None,None
460,004,Bad Luck Brian,MIRA A LOS DOS LADOS AL CRUZAR LA CALLE LE CAE UN HELICOPTERO,None,None
462,008,Matias Prats,El moroso Ha cobrado,None,None
468,012,Willy Wonka,perera tiene novia ¿que se siente que sea inflabe?,None,None
471,007,Futurama Fry,Baia baia Lo que hace el chocolate.!,None,None
474,002,Annoying Gamer Kid,#Oscargamer,None,None
477,004,Bad Luck Brian,Gana premio a la mas perra Lo pierde por estar bokiniando,None,None
486,008,Matias Prats,informamos que el de arriba se cree chistoso,None,None
488,008,Matias Prats,informamos... que el de arriba se cree chistoso,None,None
493,001,Ancient Aliens,la unica exlicacion  es que soy un espiritu chocarrero..!!!,None,None
495,004,Bad Luck Brian,trata de crear un meme su pc explota,None,None
500,008,Matias Prats,kei consigue un beso de la emperatriz dio en la diana,None,None
504,004,Bad Luck Brian,Cree que saldra de vacaciones tiene que terminar los costos,None,None
505,012,Willy Wonka,Mi amigo Pablo planeando liarme,None,None
506,012,Willy Wonka,"sigues creyendo que tus ""chistes"" le hacen gracia a cualquiera? Cuentame mas... mejor no xD",None,None
507,012,Willy Wonka,se siente muy feliz por que pagaron la grati no sabe que su esposa compro regalos para todos con su tarjeta,None,None
509,004,Bad Luck Brian,SE ANIMA A IRSE CAMINANDO A SU CASA SE PIERDE,None,None
520,010,Prepare Yourself,Estoy pensando como sere cuando sea rey,None,None
525,008,Matias Prats,pues te jodes,None,None
531,012,Willy Wonka,Melissa hacer algo bien en un dia No quiere decir que ya cambiaste !! XD,None,None
533,004,Bad Luck Brian,METE UN GOL CAGA 15004030004,None,None
534,012,Willy Wonka,hoy no voy asi que... jodanse todos,None,None
544,012,Willy Wonka,hablando en serio tu marginalidad al expresarte es culpa del gobierno o ya tu eras ASÍ?,None,None
551,012,Willy Wonka,no me digas que no hay salida para los auxiliares,None,None
553,001,Ancient Aliens,Y que me trepo a la Ely Aquiiiiii mmmm,None,None
558,012,Willy Wonka,Viene navidad Y nena diaz que me vas a dar,None,None
561,004,Bad Luck Brian,hola soy gomes busco a ashley,None,None
564,004,Bad Luck Brian,hola soy culito busca a ashley,None,None
576,012,Willy Wonka,Nena diaz Cual sera mi regalo?,None,None
580,007,Futurama Fry,Ssssss karinaaaa Estas bien linda !!!!,None,None
582,008,Matias Prats,Compañeros esa carta no existio,None,None
585,006,Filosoraptor,cual es tu dj o cantante favorito,None,None
587,004,Bad Luck Brian,3 meses organizando el carrete Se enferma el mismo dia,None,None
588,005,Disaster Girl,"Me opongo a la mineria en ""tierras ancestrales"" Siendo hija de mestizos",None,None
589,008,Matias Prats,Hoy cumple 58 años Kiko Felicidades!!!,None,None
593,004,Bad Luck Brian,No quiere exponer Y es seleccionada para dar una conferencia,None,None
594,008,Matias Prats,Querian un pdf les dieron un pdf,None,None
597,008,Matias Prats,Rafa y Marisol felicitan la navidad A Lolo y Cristina,None,None
610,012,Willy Wonka,Y que se siente trabajar esta semana carba?,None,None
611,012,Willy Wonka,Y que se siente trabajar esta semana carby?,None,None
612,004,Bad Luck Brian,recibio su regalo de intercambio del angel no sabe que es un trago y tiene los minutos contados,None,None
618,002,Annoying Gamer Kid,like si eres hasi jugando minecraft,None,None
625,008,Matias Prats,Le robaron a Vela No tuvo una buena VELADA,None,None
626,010,Prepare Yourself,Evaluation is coming,None,None
630,008,Matias Prats,PAOLA QUIERE SER ADMINISTRADORA PERO... PASCUAL NO QUIERE DARLE SU PODER,None,None
641,012,Willy Wonka,Asi que anoche se te callo la fasca que pillamos...??? Te vi entrar al baño 379 veces...,None,None
643,002,Annoying Gamer Kid,tomare evidencias de la clase de compu,None,None
664,011,Problems,Me LA CREI WE:(,None,None
668,012,Willy Wonka,¿que se siente caer tan bajo?,None,None
669,003,Ay Si,yo se hacer menes para burlarme de los magnificos,None,None
672,011,Problems,Me dijo que iba quedar sola Por que nadie me aguanta..,None,None
693,006,Filosoraptor,que are hoy,None,None
706,012,Willy Wonka,Ya le pagaron a Toñito ? Porque anoche perdieron la serie,None,None
709,012,Willy Wonka,TINO GONZALEZ,None,None
715,003,Ay Si,Ay si Ay si No sabia que trabajaba el viernes a la tarde,None,None
716,008,Matias Prats,We inform you that your group has been created...,None,None
717,008,Matias Prats,RONDA SUR ToDos falsos,None,None
720,008,Matias Prats,Permiteme que insista Todos los de mercadona de ronda sur unos fals,None,None
723,008,Matias Prats,Permiteme que insistA Mercadona ronda sur todos fal,None,None
727,008,Matias Prats,Permiteme que insista Mercadona ronda sur falsos todos,None,None
732,012,Willy Wonka,Dime que se siente ser guapo Papu 7u7,None,None
738,004,Bad Luck Brian,como cuando te miras al espejo :v,None,None
743,004,Bad Luck Brian,Juega al amigo secreto No tiene amigos,None,None
747,001,Ancient Aliens,paolini,None,None
755,001,Ancient Aliens,El Neo asi La tienes grande,None,None
763,005,Disaster Girl,LA GENTE PEDIA MEDICO PEDIA....,None,None
782,008,Matias Prats,En otras noticias el pocho se caga de miedo,None,None
786,007,Futurama Fry,¿Que es eso? Una sombra? Un fantasma?,None,None
789,003,Ay Si,donde esta mi comida?,None,None
790,008,Matias Prats,Flash Informativo Majo se esta dejando crecer el pelo!,None,None
802,002,Annoying Gamer Kid,Ya baje el emulador Para jugar nintendo 64,None,None
815,007,Futurama Fry,QUE PASO ? GATO,None,None
824,002,Annoying Gamer Kid,Hola soy emanuel Y me gusta el maicra,None,None
829,004,Bad Luck Brian,El kiki burlandose de los que le van al america sus hijos le van al america,None,None
833,007,Futurama Fry,¿geometry Dash 2.1 ?,None,None
834,004,Bad Luck Brian,Dice que no esta pegada al cel Cambia de foto cada 2 horas,None,None
835,004,Bad Luck Brian,Dice que no esta pegada a wpp Cambia de foto cada hora,None,None
839,012,Willy Wonka,Quisiera ser ensalada de caracolitos para que ana lu me la coma toda,None,None
843,003,Ay Si,ay,None,None
852,007,Futurama Fry,No se si el vestido es demasiado corto O mi poto es demasiado grande,None,None
854,011,Problems,Jon se fue de fiesta llamare a mirian,None,None
859,006,Filosoraptor,"No se en quien desconfiar mas, en un politico o en un religioso",None,None
865,011,Problems,SERGIO YA NO ME DA LIKES,None,None
867,001,Ancient Aliens,muy buena presentacion les sobro tiempo pero muy buena presentacion.,None,None
871,007,Futurama Fry,Solo hay que ir a la novena Y quedan 4 dias....ese dia ire,None,None
874,001,Ancient Aliens,chicas de cdm,None,None
878,004,Bad Luck Brian,Sube un meme reclamando un bono Lo echan,None,None
881,002,Annoying Gamer Kid,ola soy clark el niño rata,None,None
884,006,Filosoraptor,si los ebrios dicen la verdad entonces porque dicen q no estan ebrios,None,None
886,004,Bad Luck Brian,Invita a la Colombiana No viene,None,None
890,004,Bad Luck Brian,bULLO SOS UN PAJA...,None,None
903,007,Futurama Fry,Todos los del lado D Somos sospechoso.,None,None
905,004,Bad Luck Brian,quiro el Rubio,None,None
919,009,No me digas,cuando mi hermano ve a su novia inspira,None,None
926,009,No me digas,fiesta de fin de año kemocion,None,None
928,004,Bad Luck Brian,Se burla de los RMI Tiene RMF...,None,None
936,010,Prepare Yourself,IVA PAGADO,None,None
937,001,Ancient Aliens,..barajela mas despacio. Un violador desde la carcel pide libertad para otro violador..y segun nuestra ley se debe considerar la peticion..,None,None
939,005,Disaster Girl,Papa Noel no trajo lo que queria.. Encendi la chimenea.. y estaba adentro,None,None
941,001,Ancient Aliens,Solo hay una explicacion para esto Promociones,None,None
945,012,Willy Wonka,Asi que piensas que nightwish toca heavy metal? Dime que se siente ser tan ignorante en el mundo del metal?,None,None
954,009,No me digas,cuando dicen ya llege no me digas,None,None
956,008,Matias Prats,en otras noticias atropellaron a un motociclista,None,None
960,012,Willy Wonka,pobre de mi amigo el virgen :´v,None,None
963,013,Yao Wonka,No lo castigan porque no lo quieren,None,None
967,001,Ancient Aliens,Mil Historias de patoaventuras.... GERA,None,None
970,006,Filosoraptor,Pero yo me pregunto En que terminara la novela,None,None
971,009,No me digas,No me mire asi Que yo soy su mama,None,None
975,004,Bad Luck Brian,Seas papon Julio,None,None
980,011,Problems,Me enojo bloqueo a jonathan Y lo peor que maikol me quito el celular,None,None
982,004,Bad Luck Brian,Se llama casimiro buenavista y es ciego :v,None,None
983,001,Ancient Aliens,pene,None,None
989,011,Problems,No puede,None,None
991,011,Problems,No puede Ser!,None,None
997,004,Bad Luck Brian,pi,None,None
998,011,Problems,lo q a vos te divierte a mi me rompe los huevoa terminemos con el estimado!!!,None,None
999,002,Annoying Gamer Kid,TE FALTAN 7 GEMAS PARA EL LEGENDARIO,None,None
1002,004,Bad Luck Brian,Se gana la rifa de la novena Es ateo,None,None
1006,007,Futurama Fry,QUE GAY,None,None
1018,006,Filosoraptor,Con esa velocidad Mañana votare... Sera que se puede,None,None
1032,001,Ancient Aliens,boom nena!!!,None,None
1033,011,Problems,When la kimberly Te navajea con el kevin y el Brayan y te quitan tus pertenencias,None,None
1042,004,Bad Luck Brian,Te pasas Ayde,None,None
1049,012,Willy Wonka,¿No que le ganabas a los angeles? Pues que haces aca con emma hermano :v,None,None
1055,013,Yao Wonka,Amiga... Amiga la que dice : yo me lo iba a robar.,None,None
1071,001,Ancient Aliens,. ROQUE,None,None
1077,004,Bad Luck Brian,No quiere volver a amaga dejo el celular,None,None
1078,011,Problems,Ramiro no me quiere contar su historia Pero lo artare ezkribiendo azi,None,None
1080,009,No me digas,juan me presras la moto? si anda!,None,None
1086,009,No me digas,juan me prestas la moto? si anda,None,None
1090,003,Ay Si,"Ay si, Ay si Quiero mi barniz rojo!!",None,None
1102,008,Matias Prats,en otras noticias se descubrio al Dr Ronald con dos negros angoleños en su habitacion,None,None
1116,001,Ancient Aliens,De este porte Se lo come el Felipe,None,None
1122,012,Willy Wonka,DIME QUE SE SIENTE SER gAY Y ACOSTARTE CON UN HOMBRE,None,None
1123,007,Futurama Fry,como cuando tu prima no quiere ir al baño,None,None
1125,012,Willy Wonka,enserio??,None,None
1126,003,Ay Si,no me conpares cabron,None,None
1128,003,Ay Si,AY SI. AY SI Happy birthday Mr J Munoz,None,None
1134,011,Problems,Me dejo por Un completo,None,None
1135,004,Bad Luck Brian,Prende la tele La Coca borracha,None,None
1148,012,Willy Wonka,sera que te creo,None,None
1149,008,Matias Prats,"dia  24 / 12  concentraçao  de  fe  na  queimadinha,  as  19:30. reuniao  com  a  familia  de  deus,  venha  com  toda  sua  fe !!!",None,None
1152,008,Matias Prats,entre otras noticias... adrian es un winner,None,None
1158,003,Ay Si,cuando termina el futbol buscamos noticias de otros depot,None,None
1162,010,Prepare Yourself,Amiguitos The Winter is coming,None,None
1164,010,Prepare Yourself,Ramoncitos The Winter is coming,None,None
1166,010,Prepare Yourself,Ketitas The Winter is coming,None,None
1167,010,Prepare Yourself,Chicas The Winter is coming,None,None
1171,010,Prepare Yourself,Chris The Winter is coming,None,None
1175,002,Annoying Gamer Kid,Cuando le pasan el Control a carlos,None,None
1178,006,Filosoraptor,SI EL QUE NO LLORA NO MAMA ME DEBO CONSEGUIR UNA NOVIA LLORONA?,None,None
1184,010,Prepare Yourself,que hermosa persona no lo puedo creer,None,None
1191,012,Willy Wonka,Ya dejen la peleadera lleguen a un punto de acuerdo,None,None
1208,004,Bad Luck Brian,No Sabe Crear memes los busca en google...hernan,None,None
1210,003,Ay Si,Hay pues Mucho bulin,None,None
1211,004,Bad Luck Brian,Dime la verdad Eres Gey No,None,None
1216,012,Willy Wonka,Que Fue Te callastes Feo :V,None,None
1217,004,Bad Luck Brian,Pide un helado Le dan la camiseta de boca,None,None
1234,011,Problems,Hay dios mio A esta margarita no le entiendo ni madres,None,None
1236,005,Disaster Girl,a mis vecinos no les gustaba soy luna GUSTABA,None,None
1239,002,Annoying Gamer Kid,Cuando le sueltan el Control a yiyo,None,None
1242,004,Bad Luck Brian,SUBE A LA AMBULANCIA CANCELAN LA EMERGENCIA,None,None
1255,006,Filosoraptor,"Si Hodor significa 'Hold the door"" Que significa toloto?",None,None
1256,001,Ancient Aliens,HACI DE GRANDE ES LA PELOTUDES QUE DIJISTE.,None,None
1260,012,Willy Wonka,ASI QUE LE GANASTE AL A,None,None
1262,011,Problems,"MI NOVIO DE TULTEPEC ME DIJO MI AMOR, HOY VAMOS A ARDER DE PASION",None,None
1271,009,No me digas,el pato cuando ve una tula,None,None
1274,001,Ancient Aliens,los aliens controlan el sol aliens,None,None
1278,001,Ancient Aliens,Yamileth...quiero tu culito rico,None,None
1282,009,No me digas,como cuando Emily Se desmaya :(,None,None
1283,001,Ancient Aliens,¿Como se crearon los suegros? Aliens,None,None
1284,006,Filosoraptor,LAS HM NUNCA HACEN CLEANING PERO SE ENLOCAN EN LIMPIAR PARA QUE VENGA LA DE LA LIMPIEZA?,None,None
1290,003,Ay Si,Yo no miento Uy siii,None,None
1293,009,No me digas,No medigas Pense que era un pinguino,None,None
1294,009,No me digas,Como comenzamos el grupo esta vaina era seria y era informacion de retenes y no mas +57 316 6168273 ANDRES BUCARAMANGA,None,None
1295,004,Bad Luck Brian,El concierto es en su casa solo toca una cancion,None,None
1315,008,Matias Prats,NOTICIA DE ULTIMA HORA. YA NO SERÁ TAZA Y CALCETIN AHORA ES TAZA CON CALCETIN. ATTE. EQUIPO RH. CC: GERENCIA,None,None
1317,012,Willy Wonka,SABRÁ ESTA JEVA...? QUE VUELO EL tUpOLEV DE FG,None,None
1330,004,Bad Luck Brian,Hola amigo.,None,None
1338,012,Willy Wonka,ASI QUE DOS BOXEADOR... QUE SE SIENTE QUE TE GANE CARUBINI POR NOCAUT?...,None,None
1339,003,Ay Si,no yo solo me tranquilizo con tu hermana,None,None
1343,005,Disaster Girl,iva saliendo para plaza pero luego mi casa exploto,None,None
1346,010,Prepare Yourself,nO SE SI SOPORTO UNA ESPADA O UN MICROFONO DE KARAOKE,None,None
1348,004,Bad Luck Brian,cuando la tia te trolea el post y te hace preguntas familiares,None,None
1353,003,Ay Si,yoooo? a mi k me esculken.,None,None
1358,004,Bad Luck Brian,Siga soñando,None,None
1362,007,Futurama Fry,Si me mato Me muero??,None,None
1365,004,Bad Luck Brian,LE DICE BOLUDO A OTRO ES UN BOLUDO,None,None
1371,004,Bad Luck Brian,.,None,None
1373,004,Bad Luck Brian,.                    .,None,None
1386,009,No me digas,Edgar me la chupaaaa,None,None
1387,004,Bad Luck Brian,Me dicen Miguelito,None,None
1390,006,Filosoraptor,si tenemos arboles como se creo la bellota,None,None
1396,007,Futurama Fry,Cuando jc dice ya deposite la propina,None,None
1399,005,Disaster Girl,Si edwin te cocina algo Sera mejor que estes preparado xdxdxd,None,None
1408,004,Bad Luck Brian,PIDE CUERDAS PARA GUITARRA LAS REVIENTA EL PRIMER ENSAYO,None,None
1413,011,Problems,EL PASTOR ME DIJO QUE SOLO IBA A DIRIGIR UNA SEMANA,None,None
1424,011,Problems,Pense que el espa iba a tocar parri antes de que termine el año,None,None
1427,009,No me digas,8 finales perdidas???? Ahhh y que su mama se lo crea,None,None
1430,006,Filosoraptor,Si zoe andaba con sebastian Porque ahora anda con el benja,None,None
1437,001,Ancient Aliens,yo se adrian que te gusta. brayan no te hagas al loco,None,None
1438,011,Problems,Solo 3 dias para cumplir 30,None,None
1441,006,Filosoraptor,El chino en el verano Se pone mas negro?,None,None
1443,001,Ancient Aliens,kaijus,None,None
1445,011,Problems,Cuando se me daña el peinado antes de llegar a la fiesta de navidad,None,None
1449,012,Willy Wonka,Cuentame diego Te gusta geraldine?,None,None
1452,006,Filosoraptor,Si los agentes de sharon son tan buenos Por que todos los meses botan a uno?,None,None
1453,008,Matias Prats,Ultima hora Diego confirma su gusto a geraldine,None,None
1458,005,Disaster Girl,Mi vecino era de Peñarol... ... era,None,None
1462,001,Ancient Aliens,Se me antoja un pollito azado,None,None
1464,006,Filosoraptor,si el ruben es comprometido ES porque el Jano tenia razOn?,None,None
1466,009,No me digas,"Como,asi diego Con geraldin no se juega",None,None
1471,006,Filosoraptor,Que son mas grandes los cuernos del seba O los bigotes de padin?,None,None
1472,005,Disaster Girl,Dicen que somos gritonas Ah pero ellas no saben donde estan paradas,None,None
1473,005,Disaster Girl,Dicen que somos gritonas decian,None,None
1476,011,Problems,Flor me dijo que ibamos a bajar el 207 No me deja ni manejarlo,None,None
1481,006,Filosoraptor,Si juana se callara un rato Las vacas volarian?,None,None
1482,012,Willy Wonka,Te reto a que subas una foto conmigo,None,None
1486,004,Bad Luck Brian,Emite informe academico Lo amenazan con despido,None,None
1495,008,Matias Prats,en noticias nocturnas ya es hora de dormir,None,None
1496,008,Matias Prats,se les informa que ya es hora de dormir,None,None
1497,007,Futurama Fry,Por aqui debo tener un meme Para estas pendejadas del grupo,None,None
1498,006,Filosoraptor,2x3 Da 21?,None,None
1499,008,Matias Prats,Noticia exclusiva... ¿Luis podra expulsar a su mama del grupo? mas informacion en ..... infinito y mas alla... aca no se,None,None
1504,007,Futurama Fry,¿Enserio?,None,None
1505,001,Ancient Aliens,Abril es un... alien,None,None
1506,001,Ancient Aliens,mateo muestra su cara aliens,None,None
1510,009,No me digas,"no me digas que ya es tarde,no me di cuenta",None,None
1516,006,Filosoraptor,Crean un grupo nadie habla?,None,None
1517,004,Bad Luck Brian,crean un grupo nadie habla,None,None
1529,011,Problems,Me dijo que lo hariamos al ritmo de la musica puso angerfist,None,None
1535,007,Futurama Fry,ami no me engañas cuando te bañas cantas en el baño,None,None
1537,011,Problems,Jaja Ja,None,None
1541,004,Bad Luck Brian,Se va de su pais Llega a Chile,None,None
1547,004,Bad Luck Brian,Quiere ganar la nacional Le toca con tomazacre,None,None
1549,011,Problems,Esta es la reaccion de Brayan Cuando viene Anthony,None,None
1552,004,Bad Luck Brian,dicen ir a mogotes y no tienen plata,None,None
