,meme_id,plantilla,texto_no_tilde,text_1,text_2
152,001,Ancient Aliens,Esta tan buenota la cabrona paola,None,None
153,003,Ay Si,ayy siii mando cadenas para no pagar whatsapp,None,None
155,008,Matias Prats,en otras noticias dimi pop no fue al dark,None,None
156,003,Ay Si,ya valio ya valio,None,None
158,003,Ay Si,ya valio mi    amor,None,None
159,001,Ancient Aliens,Se cree entrenador wanchope,None,None
160,009,No me digas,"TU CARA CUANDO LLEGAS A LA ESTACION DEL METROBUS CHILPANCINGO AAAAAAAAHHHHH!!!! NO ES CIERTO, DIME QUE NOOOOOOO!!!!!!",None,None
161,003,Ay Si,Hay si hay si Como ya no es intenso ahora si lo voy a mejorar,None,None
162,005,Disaster Girl,era antitinista,None,None
164,003,Ay Si,Hay si hay si Como Charly ya no es intenso ahora si lo voy a mejorar,None,None
169,008,Matias Prats,en otras noticias fernando otz tapo 4 baños,None,None
176,009,No me digas,En velda enzo no te creo :V,None,None
178,001,Ancient Aliens,solo hay una explicacion para todo esto !! kiki´s!!,None,None
189,003,Ay Si,ps... yo solo decia,None,None
193,001,Ancient Aliens,Japoneses,None,None
194,012,Willy Wonka,Leo que se siente buscar una acordeo tdo en  dia jajja,None,None
200,011,Problems,"hay gabriel,3 horas haciendo un visne, ya ni la chingas",None,None
210,003,Ay Si,mi hermAna tiene la cabeza torzidA,None,None
212,009,No me digas,Solo un dia mas y Vacacioneees,None,None
213,003,Ay Si,SUAVE MALCREAOS....,None,None
215,003,Ay Si,UY SI UY SI LOS CHICOS TIENEN QUE TRABAJAR,None,None
216,004,Bad Luck Brian,Sale de FCa Es contador,None,None
217,001,Ancient Aliens,solo hay una explicacion para esto renzo,None,None
220,001,Ancient Aliens,It was... PSIS,None,None
222,011,Problems,que haya paro decian no iva ver embarasadas decian,None,None
223,007,Futurama Fry,PINCHI MAMON,None,None
225,011,Problems,que haya paro decian no iba ver embarazadas decian,None,None
227,011,Problems,que haya paro decian no va a ver embarazadas decian,None,None
228,011,Problems,que haya paro decian no va a haber embarazadas decian,None,None
230,006,Filosoraptor,ser de barrales es ser un cochucho,None,None
231,001,Ancient Aliens,Aliens,None,None
232,006,Filosoraptor,ser de barrales es ser un cochucho ??,None,None
234,003,Ay Si,La que rie al ultimo rie mejor perra,None,None
235,001,Ancient Aliens,ESO LO EXPLICA TODO SE ESTA QUEDANDO CALVO,None,None
236,001,Ancient Aliens,fueron los aliens,None,None
240,012,Willy Wonka,que se siente ser perra que ladra y no muerde?? wau wau,None,None
244,011,Problems,ay...el madrid nadie lo va a salvar,None,None
246,001,Ancient Aliens,Oxigeno,None,None
251,003,Ay Si,Kobe El mas temido en whatsapp,None,None
256,011,Problems,ME DIJO QUE NOMAS LA PONTITA Y ME LA METIO TODA,None,None
257,011,Problems,ME DIJO QUE NOMAS LA PUNTITA Y ME LA METIO TODA,None,None
266,009,No me digas,EL PIPIS TIENE PERICO?,None,None
280,004,Bad Luck Brian,SE LLAMA VALENTINA ES BIEN COBARDE XD,None,None
298,009,No me digas,DO BABES En serio,None,None
301,011,Problems,ando dolida jaja,None,None
305,012,Willy Wonka,conque te pondras ese traje fryda,None,None
308,001,Ancient Aliens,tu sabes primo q tenemos los cojones bien grande,None,None
313,005,Disaster Girl,"Conque no quieres a sofia,pues muere",None,None
315,012,Willy Wonka,asi que eres nayle perez que se siente ser tan inteligente?,None,None
316,007,Futurama Fry,este pendejo!! me engaña umm !!!,None,None
320,011,Problems,No pude ir al baile a tampaon Pero para el 10 de mayo si voy,None,None
329,009,No me digas,no encerio cuentame mas,None,None
332,012,Willy Wonka,Es miercoles... pero huele a viernes!!,None,None
335,005,Disaster Girl,mis vecinos eran del madrid,None,None
337,008,Matias Prats,"un hombre grava un unicornio y luego encuentra trabaja si si como lo ollen,encontro trabajo",None,None
340,008,Matias Prats,"un hombre grava un unicornio y luego encuentra trabajo si si como lo ollen,encontro trabajo",None,None
345,005,Disaster Girl,Dame el cargador o ya sabras lo que pasara,None,None
346,001,Ancient Aliens,cumple  años y se estrella Andres,None,None
347,009,No me digas,hablas webadas,None,None
352,012,Willy Wonka,¿Quien va a ser el siguiente para el safe?,None,None
356,004,Bad Luck Brian,3hs en llegar a la lancha se encaja y se incendia,None,None
357,006,Filosoraptor,Si un jugador se va por la banda el portero va por los mariachis,None,None
362,001,Ancient Aliens,tengo un cerebro asi de grande y no me sirve,None,None
367,003,Ay Si,Uy si apenas me voy enterando de que el romel es gay,None,None
370,001,Ancient Aliens,tienes un cerebro asi de grande y no te sirve,None,None
375,005,Disaster Girl,que el grupo de en frente es mejor? Creo que ya no,None,None
376,004,Bad Luck Brian,Le dicen pon ward pone pink gg backdoor,None,None
382,012,Willy Wonka,q buena estas,None,None
385,011,Problems,en lugar de un texto era un mensaje de voz,None,None
386,001,Ancient Aliens,yo te amo asi de mucho,None,None
391,004,Bad Luck Brian,se unen a los amorosos los corren por desmadrosos,None,None
394,004,Bad Luck Brian,le toca ser warm up,None,None
396,003,Ay Si,"Ay si nadie se mete con el porque hace boxeo Y la hermana es escopiana, tupida y tiene hambre todas las madrugadas",None,None
404,008,Matias Prats,Lo vas a hacer y lo sabes!!,None,None
405,012,Willy Wonka,si supieras lo que te espera sabrias porque me rio,None,None
414,008,Matias Prats,"¡tenian examen de fiscal sobre el iva! cuando acabaron, salieron liquidados",None,None
421,012,Willy Wonka,Que se siente estar tan guapa Y q el espejo no te dice nada,None,None
423,012,Willy Wonka,Que se siente andar en valles Y que no veas a tus amiguis,None,None
431,008,Matias Prats,urgente!!!! Se retrasan las nominas por las fiestas de semana santa,None,None
440,012,Willy Wonka,"decime una cosita vos , como sabes eso ?",None,None
449,003,Ay Si,AY SI AY SI ES BATERISTA,None,None
456,013,Yao Wonka,mira como estoy triste por q te vas de semana santa,None,None
460,012,Willy Wonka,Asi que te gusta joder cachuda,None,None
463,004,Bad Luck Brian,"Twittea  #ElSecretoParaTenerNovia ,esta soltero y friendzoneado.",None,None
471,003,Ay Si,la felistidad soy cliente plus,None,None
474,008,Matias Prats,Me hice caca pero gracias a Dios el escritorio me tapa,None,None
501,008,Matias Prats,Ultimas noticias sonia dice con el face abierto,None,None
519,012,Willy Wonka,so you're Esteban tell me what is it to be a pussy,None,None
520,012,Willy Wonka,so you're Esteban tell me what it is to be a pussy,None,None
523,012,Willy Wonka,"tell me, how is getting ana/antonello mad on you due to late submission?",None,None
527,011,Problems,me ti la llave maya en las compu del cole y yo me aserque y le dije es mia glu glu glu,None,None
529,011,Problems,Q barbaroo No me dejaron dormir,None,None
530,006,Filosoraptor,Si karito y estef siempre hablan de violarse y violarse Llegaran a cumplir su sueño? o solo sera una mentira?,None,None
531,004,Bad Luck Brian,fds largo!! Esta de turno,None,None
539,001,Ancient Aliens,neri es VIRGEN !!!!!,None,None
541,001,Ancient Aliens,VIRGEN,None,None
547,007,Futurama Fry,xq comparar una perra de 4patas cin una de 2 si una NACE y la otra SE HACE,None,None
549,007,Futurama Fry,tengo sueño me estoy aburiendo,None,None
556,007,Futurama Fry,quien es este cojudo,None,None
557,007,Futurama Fry,quien es este cojudo que no tiene ce,None,None
558,007,Futurama Fry,quien es este cojudo que no tiene celular,None,None
565,008,Matias Prats,queeeeee? 70 mlls. me voy a hacer telenovelas,None,None
574,001,Ancient Aliens,BUKAKE,None,None
577,001,Ancient Aliens,"tu publicacion y cuando lei tu publicacion, me comi un bistec asi de grande",None,None
584,001,Ancient Aliens,Juernes,None,None
587,001,Ancient Aliens,l 'Oda un troll?,None,None
594,004,Bad Luck Brian,trabaja miercoles santo es re seco,None,None
605,001,Ancient Aliens,Trance,None,None
622,003,Ay Si,Hay ya viiviiana Deja el basiilon..,None,None
624,007,Futurama Fry,el muy pendejo borro mi comentario,None,None
625,011,Problems,ay porque nacio?,None,None
626,008,Matias Prats,ultima noticia ivo entrega a iara por una cajita del lol,None,None
628,008,Matias Prats,ultima noticia me todo me chupa 3 huevos todos,None,None
629,008,Matias Prats,ultima noticia me chupa 3 huevos todo,None,None
638,008,Matias Prats,ultima noticia en el mejoremos han perdonado a andres,None,None
639,011,Problems,porque: exsistio la escuela,None,None
642,001,Ancient Aliens,porto,None,None
650,001,Ancient Aliens,Yo tuve un encuentro cercano con una red social,None,None
654,010,Prepare Yourself,Soy el chofer de mi propia vida,None,None
658,001,Ancient Aliens,suscuars,None,None
661,001,Ancient Aliens,Asi de grande le gusta a matulo,None,None
664,003,Ay Si,Uyyyyy se corto el frenillo,None,None
666,011,Problems,"ivan me dijiste iba a ser la reina de la casa, no me usa ni para jugar ajedrez!!!",None,None
675,012,Willy Wonka,Que se siente saber que werever les dio fama!?,None,None
677,001,Ancient Aliens,TE VOY A EXPLICAR LEOPOLDDDDD,None,None
682,010,Prepare Yourself,Preparez,None,None
687,013,Yao Wonka,me da mas miedo la chancla de mi mama que tu cuchillito de plastico,None,None
689,011,Problems,OTRA VEZ SERVIER ME CUENTA LO MISMO,None,None
690,012,Willy Wonka,¿en serio? ¿vas a leer todo el ppt?,None,None
692,011,Problems,Si pudieron enviar un hombre a la luna porque no enviarlos a todos?  wf,None,None
695,012,Willy Wonka,Mientras los hombres esconden a sus amantes Las mujeres los presentan como sus amigos,None,None
698,008,Matias Prats,ya es abril natalicio de los hombres ilustres,None,None
699,008,Matias Prats,el jefe del grupo se ausenta por unos dias.se va de vacaciones a inglaterra que le baya bien jefe Pepe charrascas,None,None
700,006,Filosoraptor,como es que medise moro ? caganiño,None,None
702,006,Filosoraptor,si un carpintero serrucha todo el dia cuando trabaja?,None,None
703,012,Willy Wonka,con que quieres preguntar? no me preguntes Jose,None,None
704,011,Problems,Me dijo que tenia carro... Al final no tenia ni pal gas...,None,None
708,008,Matias Prats,Ultima noticia Oje'u jeyma adolfo,None,None
717,003,Ay Si,DEPOTIVO B.S 12 PUNTOS DE 12,None,None
719,009,No me digas,despedido leiva,None,None
722,008,Matias Prats,DEPOTIVO B.S 12 PUNTOS DE 12,None,None
726,010,Prepare Yourself,fuera leiv,None,None
740,001,Ancient Aliens,chinese,None,None
746,001,Ancient Aliens,logos,None,None
748,011,Problems,Espero Este Año Encontrar Un Campamento D Verano Por Q Si No Patitas Pa Q T Quiero,None,None
750,006,Filosoraptor,"si el pez nada., la vaca todo?",None,None
751,012,Willy Wonka,ay esa cecilia q cañadora,None,None
755,003,Ay Si,Olle Yo no pido mucho despues q la aga reir cn la cosquillita,None,None
756,006,Filosoraptor,por que las mujeres no se pueden pintar las pestañas con la boca cerrada?,None,None
759,009,No me digas,NO ME CREES,None,None
764,012,Willy Wonka,asi que eres de los consentidos que se siente saber que todos ts compañeros piensan que eres un guevon,None,None
765,012,Willy Wonka,asi que eres de los consentidos que se siente saber que todos tus compañeros piensan que eres un guevon,None,None
775,013,Yao Wonka,asi q te dicen candy cuantame q se siente q sandra te chotee,None,None
776,001,Ancient Aliens,Solo hay una explicacion para esto ratero!!!!,None,None
780,013,Yao Wonka,wilman asi q te crees guapo cuantame q se siente  no tener espejo y q sandra te chotee,None,None
782,005,Disaster Girl,MEANWHILE IN THE BUILD                                           HELL...,None,None
785,003,Ay Si,nooo si no es mi casaa,None,None
787,007,Futurama Fry,pense en sindicalisme y luego pienso sintrareniec y se me pasa,None,None
788,001,Ancient Aliens,Hoy es Miercoles Santo Y yo aun en mi casa,None,None
789,007,Futurama Fry,Oscar Jara Yendo a la playa,None,None
790,008,Matias Prats,Al parecer.. Nadie estaba trabajando......,None,None
797,001,Ancient Aliens,eres altamente desagradable,None,None
798,004,Bad Luck Brian,no participas todavia? epic fail,None,None
804,004,Bad Luck Brian,Lo invitan a una fiesta No va nadie,None,None
805,001,Ancient Aliens,"La policia con 30,000 efectivo para tu ""proteccion""",None,None
808,001,Ancient Aliens,TODO ESO ES SUYO O ES PRESTADO,None,None
817,001,Ancient Aliens,LoL?? quien juega a eso??,None,None
821,013,Yao Wonka,ke estaran haciendo los pobres en estos momentos.. uhmm,None,None
829,001,Ancient Aliens,"solo hay una explicacion para esto. .  ""chiteros""",None,None
830,001,Ancient Aliens,solo hay una explicacion para esto chiteros,None,None
832,006,Filosoraptor,If MRA'S care so much for men's rights why do they only whine on feminist pages and never actually fight for equality?,None,None
835,013,Yao Wonka,zoy jaqueh,None,None
839,004,Bad Luck Brian,queria con mati termina con gabo,None,None
846,006,Filosoraptor,sera q este se ase los pendejo o esq asi nacio de pendejo,None,None
848,004,Bad Luck Brian,Se compra moto ! Empieza el invierno ! Jajaja,None,None
849,012,Willy Wonka,sayoko me parece que tienes un virus,None,None
852,012,Willy Wonka,"POR TUS MAMADAS GAEL ENGORDA,ABRAHAM ES MAS ENANOY EL CHANGO MAS FEO YA NO MAMAES",None,None
855,001,Ancient Aliens,ESTABAMOS EN UNA REUNION Y CRIS NOS MOSTRO LA EMPANADA ASI DE HINCHADA LA TIENE,None,None
857,009,No me digas,DIOS MIO!! QUE BELLA MUJER!!,None,None
867,013,Yao Wonka,Nos dicen perros Sera x lo fieles,None,None
872,001,Ancient Aliens,seguro era gordo grueso como te gusta,None,None
874,011,Problems,ELLA VOTO A CFK HOY TRABAJA EN UN DEPARTAMENTO PRIVADO,None,None
888,011,Problems,le dije que no porque me dolia el cuello,None,None
892,001,Ancient Aliens,ira compita !!!! de este tamaño esta lo ke te vas a comer!!! y no presumo,None,None
896,001,Ancient Aliens,TOXICITY,None,None
905,001,Ancient Aliens,Interneteros,None,None
907,001,Ancient Aliens,Yo me cai Fueron los aliens,None,None
908,013,Yao Wonka,el pobre wey mantiene hasta a los cuñados y aun asi no lo dejaron ir a mazatlan,None,None
909,001,Ancient Aliens,SHOEGAZERS,None,None
913,004,Bad Luck Brian,DECIDEN QUEDARSE EN SWARM SE VA TELCEL,None,None
914,005,Disaster Girl,They told me to embrace the dd this is me embracing it,None,None
923,004,Bad Luck Brian,Se interna en urgencias la doc descansa,None,None
927,001,Ancient Aliens,la tiene ASI,None,None
928,001,Ancient Aliens,MORGAN´S SPHINX,None,None
930,005,Disaster Girl,ATOMIZEN A RED PAGOS  2700 87 88 LLAMA PARA QUE LARGUEN LAS ENTRADAS 2700 87 88,None,None
931,003,Ay Si,solo toque 1 cosa y no les voy a contar...,None,None
938,012,Willy Wonka,Asi que hoy es tu cumpleaños Y no nos vas a dar la direccion de la fiesta,None,None
949,006,Filosoraptor,Si el vino tinto es sangre de Dios entonces soy vampiro,None,None
957,001,Ancient Aliens,excelente historia pero le faltaro roBertos,None,None
963,003,Ay Si,¡Uy! Siempre es malote en su estado del Facebook y Whatsapp que miedito...,None,None
966,004,Bad Luck Brian,ttito ttitoo te pareces tanto ami,None,None
970,004,Bad Luck Brian,FUMAR MATA. Y SI TE MUERES PIERDES UNA PARTE IMPORTANTE DE TU VIDA,None,None
974,008,Matias Prats,Ultimas noticias y yo me aserque y le dije es mia glu glu glu,None,None
982,008,Matias Prats,y en otras noticia un tal briceño apodado ñoño fue presa de la pdi,None,None
991,001,Ancient Aliens,Banns,None,None
998,003,Ay Si,pase por la esso de la perimetral y vi la cosa mas hermosa del mundo!!!,None,None
1001,004,Bad Luck Brian,JA JA JAYYY Que te crea su raca de jorguito gamarra,None,None
1002,003,Ay Si,uy que cosa,None,None
1005,008,Matias Prats,Te vas a comer el cuadro Y LO SABES!!,None,None
1008,008,Matias Prats,y en ultimo minuto la mesa comera sushi,None,None
1022,013,Yao Wonka,al cabo que ni queria madurar,None,None
1027,012,Willy Wonka,seria una lastima que alguien spoileara el final,None,None
1032,004,Bad Luck Brian,Nunca va a ver a la Sele ganar Y cuando va Pierde,None,None
1036,011,Problems,quiero pasar estos dias con mi macho alfa..... ayudenme....fer no me dejes....,None,None
1038,003,Ay Si,A mi que me registren No me han dado caramelos los coloraos,None,None
1042,003,Ay Si,Ay ay ay Que ya ha pasao la procesion,None,None
1053,004,Bad Luck Brian,Se compra teso no tiene internet,None,None
1057,005,Disaster Girl,LES DIJE QUE NO ME PUSIERAN A TRABAJAR,None,None
1064,003,Ay Si,AY SI AY SI SI BARRO SE ME CAEN LOS GUMAROS,None,None
1070,001,Ancient Aliens,"""gabriel"" 1er lugar come un millon de hotdogs",None,None
1071,003,Ay Si,hay si hay si!!! me creo Porque voy a descansar domin,None,None
1074,005,Disaster Girl,Antes me mandaba  cadenas de face si me mandaba,None,None
1075,001,Ancient Aliens,"""gabriel"" la perra que siguen siempre los chuchos",None,None
1077,003,Ay Si,hay si hay si!!! me creo Porque voy a descansar domingo,None,None
1078,001,Ancient Aliens,este chanta merece la muerte,None,None
1089,003,Ay Si,"Ay si, Ay si Convulsiono por Hipoglucemia",None,None
1091,012,Willy Wonka,a mi no me engañas quieres ir al rodadero y ests pelaooo!!!!,None,None
1098,005,Disaster Girl,Justin biber cantaba para sus fans si cantaba,None,None
1119,010,Prepare Yourself,Preparense se acerca Ventas de juegos de platinum&gold,None,None
1127,012,Willy Wonka,Y SE PUEDE PONER MEMORIA SD????,None,None
1132,012,Willy Wonka,DONDE LO COMPRASTE??,None,None
1140,001,Ancient Aliens,el dia que el pablo hernandez se raje se cumpliran todas las profecias,None,None
1162,012,Willy Wonka,asi que regalan una membresia... yo quiero ver @sexmexoficial y pajearme en honor a @fersw82,None,None
1174,001,Ancient Aliens,sarcasm,None,None
1178,001,Ancient Aliens,BRUNO,None,None
1191,007,Futurama Fry,MMMMM! Esto no me esta gustando nada!!,None,None
1192,005,Disaster Girl,que bonita !! pitufa traviesa :p,None,None
1194,012,Willy Wonka,Que se siente no ir A la playa flaka?,None,None
1211,009,No me digas,¿Que le pediste al Seba?,None,None
1221,006,Filosoraptor,si te pones bravita! ya no me dejas cojerte las nalguitas?,None,None
1227,010,Prepare Yourself,tengo algo que decir querida planchaste mi ropa,None,None
1230,012,Willy Wonka,hola gente soy wylli wonka,None,None
1231,007,Futurama Fry,"vos sos chanchuda verdad,",None,None
1238,012,Willy Wonka,que se siente que te digan tu verda facechuy,None,None
1249,003,Ay Si,culpa mia no es me invitaron a coveñas,None,None
1257,004,Bad Luck Brian,Esta haciendo el layout de scoreboard llega el primero del mes y limpia los registros,None,None
1258,001,Ancient Aliens,Close dice que la tiene asi!!!!!!,None,None
1261,004,Bad Luck Brian,tiene el mayor coeficiente intelectual de la historia no tuvo amigos y murio solo,None,None
1263,012,Willy Wonka,y muy sexy diria yo,None,None
1265,008,Matias Prats,uña y mugre siempre juntas ajaja (karen y lesly),None,None
1268,001,Ancient Aliens,jgm,None,None
1274,011,Problems,No se si comprar una moto roja o azul #nadie me entiende,None,None
1278,001,Ancient Aliens,No mele quede mirando y dije que buena esta la paola,None,None
1284,003,Ay Si,jaja si y a mi que me interesa,None,None
1288,002,Annoying Gamer Kid,SOY  pro,None,None
1299,001,Ancient Aliens,De acuerdo a estudios cientificos el 80% de las personas en nicaragua mere en las saleras,None,None
1300,001,Ancient Aliens,Temuco,None,None
1301,001,Ancient Aliens,De acuerdo a estudios cientificos el 80% de las personas en nicaragua muere en las saleras,None,None
1304,013,Yao Wonka,te  hacen  falta like!,None,None
1305,003,Ay Si,"AY SI, ES CUMPLE DE LEICI AY SI !!",None,None
1307,003,Ay Si,ay si.. ay sii ahora todos publicaran sobre el temblor,None,None
1308,009,No me digas,se solicita trabajo para trabajodores ! no me digas !,None,None
1312,008,Matias Prats,Anuncian el lanzamiento de GTA VI SE retrasa GTA V para PC otro mes,None,None
1318,008,Matias Prats,anuncian o lanzamento de gta VI retrasan gta v para pc outro mes,None,None
1321,009,No me digas,no me digas,None,None
1322,007,Futurama Fry,Y este wey... de donde saca tanta pendejada?,None,None
1328,012,Willy Wonka,asi que vivis en miami? seria una pena que el avion haga escala alla.,None,None
1331,003,Ay Si,Si seguro que la arena es muy peligrosa,None,None
1332,009,No me digas,ah no me digas,None,None
1340,004,Bad Luck Brian,pierde las llaves y estaban en el cajon,None,None
1351,009,No me digas,2.2 es 4 no me digas,None,None
1357,008,Matias Prats,ulyima hora karla te dejo en visto,None,None
1358,003,Ay Si,y aMI QUE ME IMPORTA,None,None
1364,009,No me digas,No me digas que al charro le salio una cita,None,None
1368,007,Futurama Fry,te extraño y quiero verte pero recuerdo que esta tu mama y se me pasa,None,None
1370,012,Willy Wonka,con q andas todavia ardio por el cruz azul golio al leon,None,None
1374,009,No me digas,Que quieres ganar un concurso y necesitas likes? No me digas? Porque no me importa!,None,None
1390,001,Ancient Aliens,dilia nada de eso importa solo vive y deja que sigan robando,None,None
1414,010,Prepare Yourself,PREPÁRENSE Se acercan los spots,None,None
1417,004,Bad Luck Brian,una vez q llega temprano a lustrar el auto todavia falta polarizarlo,None,None
1421,001,Ancient Aliens,te mereces un me gusta... ASIBDE GRANDE!!,None,None
1422,012,Willy Wonka,asi que sos alexis decime que se siente ser macho pecho calvo,None,None
1423,003,Ay Si,Ay si!! Yo ya vi el video de David Zepeda!,None,None
1424,003,Ay Si,Ay SI pues agarro vacaciones largas de SEMANA SANTA,None,None
1425,001,Ancient Aliens,te mereces un me gusta... ASI DE GRANDE!!,None,None
1426,003,Ay Si,"Ay si , yo ya vi el video de David Zepeda",None,None
1428,006,Filosoraptor,si soy un reptil diego es mi descendiente?,None,None
1436,003,Ay Si,Ay si Ay si XD Naty,None,None
1439,001,Ancient Aliens,asi una petaca tengo,None,None
1453,004,Bad Luck Brian,jaaa  te violaron,None,None
1458,001,Ancient Aliens,quimica ambiental debes tener el medio cojon para aprobar quimica teorica,None,None
1459,009,No me digas,con una se empieza borrachin,None,None
1462,001,Ancient Aliens,Hola ya no estoy solo,None,None
1466,010,Prepare Yourself,el naxo haciendose la victima is coming,None,None
1470,009,No me digas,Si ???? No te creo...,None,None
1485,004,Bad Luck Brian,tiene el pes fisico no tiene internet,None,None
1494,005,Disaster Girl,mi mama queria hacer la chipa queria!!,None,None
1503,008,Matias Prats,increible: pro abortista se hace llamar defensora de derechos humanos,None,None
1506,004,Bad Luck Brian,Me case en LA el 06/12/2014 Maroon 5 no fue a mi boda,None,None
1515,001,Ancient Aliens,procesos,None,None
1520,008,Matias Prats,increible: ex guerrillero que no pago carcel habla de paz,None,None
1522,013,Yao Wonka,pueden irse todos bien al carajo,None,None
1527,007,Futurama Fry,Le pedire a dios que te ilumine O elimine,None,None
1530,007,Futurama Fry,x  q  le  diran veneno,None,None
1531,001,Ancient Aliens,dilia y eso dique waoo cualquiera te revienta,None,None
1532,008,Matias Prats,en otras noticias un niño llamado nico esta robando fotos,None,None
1537,012,Willy Wonka,"En mi cumpleaños acepto celulares, relojes, efectivo o cualkier tonteria de oro",None,None
1539,003,Ay Si,no pues todo..tatiana,None,None
1541,009,No me digas,Y si tu recibes un regalo de waldos... ¿Cual seria tu primera impresion?,None,None
1544,001,Ancient Aliens,Ingress,None,None
1546,004,Bad Luck Brian,cree ser cool pobre ser humano,None,None
1548,012,Willy Wonka,Dime que se siente cumplir 25 Es que no quiero saberlo por mi cuenta :(,None,None
1549,003,Ay Si,"no pues bb, puro celu",None,None
1559,001,Ancient Aliens,Basicamente ERES GUAPA,None,None
1560,008,Matias Prats,ya llego el caloret del verano,None,None
1574,005,Disaster Girl,charlie no QUERIA VER OUAT,None,None
1577,001,Ancient Aliens,Asi el culito rico de Ramon castellanos,None,None
1584,007,Futurama Fry,enserio  esperando que  me  conecte si  como  no,None,None
1586,009,No me digas,pobrecito le llegara l maldicion,None,None
1589,009,No me digas,pobrecito le llegara la maldicion,None,None
1601,004,Bad Luck Brian,jajajaj mira como deje de callado a ese pendejo,None,None
1604,012,Willy Wonka,Hola ya vine a chingar otra vez,None,None
1605,004,Bad Luck Brian,se burla de su hermano por ser una serie su mami entra con galletitas y lechita,None,None
1606,011,Problems,hay blanca no te desesperes,None,None
1611,004,Bad Luck Brian,Construye casas en minecraft Se cree arquitecto y albañil,None,None
1625,001,Ancient Aliens,paint,None,None
1627,007,Futurama Fry,SI YA CRUCIFICARON A JESUS POR QUE NO CRUCIFICAR A LOS PROFESORES QUE DEJAN TRABAJOS EN SEMANA SANTA,None,None
1636,001,Ancient Aliens,esto es mas real que wigetta,None,None
1639,011,Problems,Freiman Señor conductor me puedo sentar en su barra,None,None
1641,011,Problems,paola me emocionate por la chucha,None,None
1656,013,Yao Wonka,quien le pregunto a gabito? nadie,None,None
1671,006,Filosoraptor,si la curiosidad mato al gato el misterio mato al perro?,None,None
1672,008,Matias Prats,EN ULTIMAS NOTICIAS UNA INMADURA ME ELIMINO DE SU FB,None,None
1675,011,Problems,pues nose. no quiero,None,None
1676,011,Problems,vale madre andan urgidas,None,None
1677,001,Ancient Aliens,...coyis,None,None
1687,008,Matias Prats,les,None,None
1688,006,Filosoraptor,Si los cienpies tienen 100 pies ... entonces los piojos tienen 3.1416 ojos,None,None
1697,008,Matias Prats,les comunico este fin de buelta con la prima lurdes es provable q. nos quedemos a dormir abra fogata musica en vivo.me despido  el sorprendente primo efren,None,None
1700,005,Disaster Girl,"Mi vecina le decia ""maneco"" a su hermano LE DECÍA.",None,None
1709,006,Filosoraptor,Ven ya a por el alien o voy yo a por ti,None,None
1711,001,Ancient Aliens,Dicen que fue algo extraño lo que sucedio con la relacion dr Valderrama's produc,None,None
1713,013,Yao Wonka,nomas de verle la cara,None,None
1715,008,Matias Prats,y en otras noticias mauro no comenta mas por que se raboniaron,None,None
1718,003,Ay Si,El pendejo de Oskar ya se cre muy Ver gotas por nuevo celular,None,None
1720,012,Willy Wonka,Asi que estas esperando lq inscripcion al ENARM? Dime que se siente esperar otros 17 dias XD,None,None
1721,008,Matias Prats,Les informo estoy de licencia!,None,None
1727,007,Futurama Fry,traes buen cotorreo blakita No aguanto la risa,None,None
1728,008,Matias Prats,noticia de ultimo momento : luis ya es jefe.... pero de familia...,None,None
