,meme_id,plantilla,texto_no_tilde,text_1,text_2
1263,002,Annoying Gamer Kid,Jugemos Counter strike en  rojas jejeje,None,None
1267,004,Bad Luck Brian,JAJAAJ SUBELO  A  5 MANGAZOS AJAAJAJ INBESIL,None,None
1295,001,Ancient Aliens,excelente historia falto la chiva j  pero excelente historia,None,None
1296,001,Ancient Aliens,excelente historia falto la chica j  pero excelente historia,None,None
1299,001,Ancient Aliens,Mmmmmmm.... Pollos asados...,None,None
1307,012,Willy Wonka,DIME QUE SE SIENTE SER TAN JALA BOLA,None,None
1312,001,Ancient Aliens,BUENA HISTORIA PERO HACE FALTA... UN JALABOLA,None,None
1313,010,Prepare Yourself,Perooooo...  hoy no salio la de las kekas!!!,None,None
1314,001,Ancient Aliens,EN LA PENSION ME SIREVN ASIIII DE MORRO,None,None
1315,001,Ancient Aliens,EN LA PENSION ME SIRVEN  ASI DE MORRO,None,None
1317,001,Ancient Aliens,solo hay una explicacion para esto hasbro,None,None
1320,009,No me digas,crees que estoy pendejo? jaa no me digas!,None,None
1329,011,Problems,pinche puta ghgg,None,None
1334,009,No me digas,VOS NO PODES ... DEJAR DE PENSAR EN COLINIAR ?,None,None
1350,002,Annoying Gamer Kid,Hola me llamo keiner y esta es mi fase 2 de nino rata,None,None
1354,009,No me digas,...nO ME DIGAS... Y PARA CUANDO VUELVES A INCUBAR LA Chikungunya?,None,None
1356,004,Bad Luck Brian,EMPATA AL LIGRE EN INTERCONTIENTALES LE DICEN CELETIAL,None,None
1361,009,No me digas,German usa bots  no! me digas pedazo de mierda,None,None
1367,006,Filosoraptor,"No olvidemos lo fragil que somos, lo complicado que estar con vida y lo facil que es desaparecer",None,None
1370,004,Bad Luck Brian,"critica al Ezln por no pronunciarse contra el gobierno, por los autodefensas, por mireles y el petroleo... y si por el pueblo palestino no sabe que el pronunciamiento se hace desde el CNI donde se organizara  la resistencia nacional.",None,None
1377,001,Ancient Aliens,A DE SER POR LA CALOR  POR ESO ESK ESTA BN PENDEJO llA NI SAVE K DESIR EL POBRE,None,None
1381,005,Disaster Girl,Mi familia me quiso abandonar  los farmie con la q,None,None
1386,012,Willy Wonka,ASO QUE USAS PHOTOSHOP EEE?! DIME QUE SE SIENTE SER TAN FEA QUE ARREGLAS TUS FOTOS Y AUN SIGUES SIENDO FEA!! NO NOS ENGAOAS!! FEEEEAAAAA!!!,None,None
1411,008,Matias Prats,"chocolatita linaares descansa, muy buenas noches",None,None
1415,011,Problems,LA LISTA 1 ME DIJO QUE LUCHARA POR MIS DERECHOS Y NO LO HIZO,None,None
1422,011,Problems,paul no seas infiel  por que me haces sufrir,None,None
1429,012,Willy Wonka,Asi que eras Katy winter !!,None,None
1432,005,Disaster Girl,a mis vecinos les gustaba el regueton basura tuve que hacer algo al respecto!!,None,None
1439,005,Disaster Girl,dijo que no le gustaba justin bieber by: leandro,None,None
1445,008,Matias Prats,Dime el significado de pendejo,None,None
1453,009,No me digas,No Me digas,None,None
1455,008,Matias Prats,en otras notisia  dicin ke manana kairan caguamas,None,None
1456,006,Filosoraptor,besame si me equivoco pero aun existen los dinosaurios! cierto?,None,None
1457,001,Ancient Aliens,malas bromas japonesas un misterio,None,None
1460,009,No me digas,no me digas we  k interesante se me ase k eres tu y no kieres desir,None,None
1462,001,Ancient Aliens,a Cesar,None,None
1463,011,Problems,Me dijeron que hiba a conocer a un hombre Y me presentaron a duvan,None,None
1467,005,Disaster Girl,Y ENTONCES LES DIJE HAREMOS EL DESARROLLO DE LA UNS.. ATTE: LISTA 1,None,None
1471,007,Futurama Fry,NO SE SI PUBLICO BUENAS COSAS OPURAS PENDEJADAS,None,None
1484,009,No me digas,Sabias que esquinazo te deja ciego No me digas,None,None
1485,010,Prepare Yourself,Brace yourseLves and The chanceo is coming,None,None
1486,013,Yao Wonka,jajaja ya empezo con sus vergas,None,None
1490,013,Yao Wonka,AHORA JAJAJAJA,None,None
1491,009,No me digas,Sabias que duvan era mk no me digas tenia pinta,None,None
1495,007,Futurama Fry,yA TENGO SUEOO,None,None
1499,009,No me digas,no me digas  y que hago te aplaudo,None,None
1500,006,Filosoraptor,SI el esquinazo te deja ciego Porque no se lo toman  en la mitad de la cuadra,None,None
1510,003,Ay Si,UY si !!! Gran vaina tod@s con novi@ Y yo.... Reparando mi moto,None,None
1512,007,Futurama Fry,Ves lo que crees que ves.. sos lo que crees que crees que sos,None,None
1513,006,Filosoraptor,Si mi primo me instalo delta desde italia me puede desir como mido la dilatacion en una embarazada?,None,None
1515,008,Matias Prats,picinas en los residenciales que mente tan creativa punetta,None,None
1521,003,Ay Si,AY SI AY SI ME SIENTO LA SIRENITA,None,None
1526,009,No me digas,interesante pero iso falta aliens,None,None
1534,012,Willy Wonka,asi que el jefe de estacion nunca hace recorridos ni conoce a sus guardias,None,None
1539,003,Ay Si,Que me miras  yo no fui,None,None
1543,002,Annoying Gamer Kid,Tengo el promedio en 1.58,None,None
1545,008,Matias Prats,ultima noticia:se dice queee¨¨  cuando orlando stewart iva a nacer lo llevaron a una funeraria,None,None
1550,006,Filosoraptor,y la verdad ya te dije esto pero la nta tengo celos dk todavia te hablen los chavos k kieren contigo por k pienso k solo estas jugando conmigo y m da mucha tristeza pensar eso a si dime a kien escojes a ellos o ami,None,None
1551,005,Disaster Girl,Yo tambien vi el video  Les presento la casa de la cantante,None,None
1552,009,No me digas,me gusta tu  mentario,None,None
1553,009,No me digas,me gusta tu  comentario,None,None
1563,011,Problems,le pedi un suplemento me trajo uno herbalife,None,None
1564,003,Ay Si,AY SI AY SI deja abro mi grupo de wats app,None,None
1566,007,Futurama Fry,No se si es el grado O el matrimonio,None,None
1575,003,Ay Si,Ay si me gradue ya no hago domiciliarios,None,None
1577,006,Filosoraptor,me pregunto se lava el osico con pasta  o se la lava con un kilo de mecos,None,None
1588,013,Yao Wonka,Yo no estudie 18 meses Para solo banar y limpiar,None,None
1621,008,Matias Prats,"Ultimo hora  Murieron 2 neros en mula,,  wiiii 2 menos",None,None
1637,006,Filosoraptor,Me pregunto quienes seran oskar erics antona,None,None
1667,003,Ay Si,Ay si Ay si estate en paz,None,None
1668,009,No me digas,me sorprendistes! .,None,None
1673,012,Willy Wonka,oh asi qe  te gusta copiar,None,None
1688,012,Willy Wonka,macka no piensas desirnos kien es el ????,None,None
1690,006,Filosoraptor,y si la chica no quiere ser joteada.... ...y si solo quiere ser buena onda ?,None,None
1703,003,Ay Si,a nose yo yo no estab cuando el wari cagaba al javiera,None,None
1711,012,Willy Wonka,ASI K ESCUCHAS AL  KODIGO 36 DIME K SE SIENTE TENER BUEN  GUSTO,None,None
1718,011,Problems,velasquez  que ya nadie se acuerda que nos quito la posibilidad de ir a un mundial de clubes,None,None
1724,008,Matias Prats,damas y caballeros cross destruye todo lv con sus trolls,None,None
1727,011,Problems,me dijeron que cross no trollearia mas fue un cruel engano,None,None
1728,010,Prepare Yourself,barbacoa abad is comming,None,None
1743,006,Filosoraptor,si soy aficionado de oocasion le voy al ocasion futbol club,None,None
1762,004,Bad Luck Brian,quiere hacer memes no sabe q poner,None,None
1763,007,Futurama Fry,te  denunciare,None,None
1764,004,Bad Luck Brian,has de millorar la caligrafia daniel,None,None
1767,003,Ay Si,el trozo de tarta de tita loli no lo he cogido yo,None,None
1778,001,Ancient Aliens,FALTAN TRINCHAS Y POLILLAS PERO AUN ASÍ ES UNA BUENA HISTORIA,None,None
1783,004,Bad Luck Brian,jnkknjkn jknkk,None,None
1794,011,Problems,ME DIJO QUE ME HARIA EL AMOR Y NO SABIA NINGUNA POSE Y ERA VIRGEN,None,None
1797,004,Bad Luck Brian,SE VA AL PUTERIO PRIMERA VEZ SE DESVIRGA Y LE AGARRA SIDA,None,None
1799,012,Willy Wonka,A SI QUE SOS VIRGEN? CONTAME QUE SE SIENTE SER TAN VIRGEN E IR A EL PUTERIO Y AGARRARTE SIDA POR PRIMERA VEZ,None,None
1800,001,Ancient Aliens,EN ESTAR HISTORIA NECESITAMOS MAS PUTA Y MENOS VIRGENES ASI QUE VE AL PUTERIO VIEJO,None,None
1805,003,Ay Si,Ay si  Ahora todos le van al real madrid,None,None
1807,005,Disaster Girl,me pidieron que cambie de musica les hice el favor,None,None
1813,012,Willy Wonka,"asi que israel destruye palestina y tu actuas como si nada, no ???",None,None
1816,011,Problems,Amo a Joe jonas Pero el ni me pela,None,None
1819,005,Disaster Girl,los vecinos eran evangelicos eran...,None,None
1820,001,Ancient Aliens,3 en la uni  solo para programas  mierdas,None,None
1824,011,Problems,fui abusada por un wliador,None,None
1836,012,Willy Wonka,"ASI QUE NO TE GUSTAN LAS PUBLCACIONES RELIGIOSAS PUES TE CHINGASTE, A TUS AMIGOS DE FACE SI LES GUSTAN",None,None
1851,003,Ay Si,Cuidado que nos va a pegar por twitter,None,None
1852,005,Disaster Girl,LES DIJE A MIS VECINOS QUE VAYAN AL PUNCLEAOOS LES DIJE...,None,None
1855,001,Ancient Aliens,Me importa una mierda Asi de grande!!,None,None
1868,009,No me digas,ese es un cuento ya gastado o  una justificacion demasiado pendeja,None,None
1871,003,Ay Si,cuidado estamos ante un criminal,None,None
1872,004,Bad Luck Brian,entra a cagar al bano de su novia y no hay papel higienico,None,None
1877,008,Matias Prats,se confirma la noticia pavo es g,None,None
1878,008,Matias Prats,se confirma la noticia pavo es gay!,None,None
1882,012,Willy Wonka,asi que volviste con jenniffer que se siente tener ese par de lindos cuernos en la cabeza,None,None
1888,008,Matias Prats,SE CONFIRMA LA NOTICIA HOY ES EL SANTO DE BLANCA. EN 30 SEGUNDOS EL TIEMPO,None,None
1902,004,Bad Luck Brian,Hace un carrete en su casa No va nadie por el cumple del tIo lucho,None,None
1907,006,Filosoraptor,Por que el pato donald tiene sobrinos si no tiene hermanos?,None,None
1910,006,Filosoraptor,Por que llaman comoda a la comoda que hay al lado de la cama si es mas comoda la cama que hay al lado de la comoda,None,None
1912,006,Filosoraptor,Donde esta la otra mitad del medio ambiente?,None,None
1917,006,Filosoraptor,Si el coche de batman se llama batmovil como se llamara el movil?,None,None
1918,001,Ancient Aliens,Mira  La tengo asi,None,None
1924,004,Bad Luck Brian,Formatea el ordenador Pasa a instalar winDows 8,None,None
1928,004,Bad Luck Brian,se compra el fifa 15 esta rayado,None,None
1930,004,Bad Luck Brian,se compra el fifa para la play 3 tiene la play 2,None,None
1937,009,No me digas,no me digas del solar la tiene chica,None,None
1941,011,Problems,mi amor  te extrano,None,None
1943,001,Ancient Aliens,me voy ganar un ban asi de grande,None,None
1946,008,Matias Prats,ULTIMAS NOTICIAS PRIMA ZINTIA TKM,None,None
1966,001,Ancient Aliens,y cuando lo ficharon dijo que no Era madridista DEsde PEQUEOO,None,None
1970,003,Ay Si,yo    no se pero sera q esta es atrasada mental,None,None
1973,001,Ancient Aliens,sera que al ver a una nina lindacomo ale me deja impresinado como sale en las fotos,None,None
1975,001,Ancient Aliens,es que alee tiene un nose que que no se cuando,None,None
