,meme_id,plantilla,texto_no_tilde,text_1,text_2
1645,006,Filosoraptor,reciclar tecnologia es una obligacion de los ciudadanos entonses porque la gente es tan incredula,None,None
1650,005,Disaster Girl,ESTO LE PASO ALA K ADOPTO A SOFIA,None,None
1651,004,Bad Luck Brian,Sergitus Me mato tropas y regalo recursos.... Boludo Nivel : Dios.,None,None
1657,011,Problems,pos me caigo por la culpa de meno,None,None
1660,006,Filosoraptor,si hay tana contaminacion ambiental porque no aprendemos a reciclar,None,None
1662,004,Bad Luck Brian,Le llaman por telefono No sabe que hacer,None,None
1664,006,Filosoraptor,si en el pais se reciclan residuos tecnolgicos la gente porque no los aprovecha,None,None
1670,006,Filosoraptor,la contaminacion ambiental esta dando por el mal uso de la tecnologias porque hacen mas dertrucion ambiental,None,None
1673,011,Problems,no llores mujer que hoy es un dIa especial. tu dIa que sera sempre recuerdado.Feliz dIa a todas las mujeres.,None,None
1684,006,Filosoraptor,r,None,None
1687,011,Problems,Que sea el dia de la mujer Y tu novio ni un feliz dia te diga,None,None
1694,001,Ancient Aliens,los vagos son como las cucarachas estan por todos lados y nunca se acaban,None,None
1696,005,Disaster Girl,Guess who was the idea?,None,None
1697,006,Filosoraptor,"la solucion al problema de los desechos electronicos. Cuando estos aparatos se desechan, se convierten en unos residuos muy contaminantes",None,None
1698,005,Disaster Girl,Guess who was the idea:3,None,None
1699,011,Problems,siempre lo mismo hace un ano q los prometistes ufffffffff,None,None
1708,011,Problems,Libia Domingez Cuando se despide de su familia,None,None
1709,003,Ay Si,ay!!silvita!,None,None
1714,013,Yao Wonka,lleva aprendiendo danza oriental 1 ano y ya se pone a dar clases,None,None
1724,001,Ancient Aliens,lo tuyo es caracter podrido,None,None
1741,013,Yao Wonka,De dia: Alias Bamfi De Noche: Alias La ROYNNER,None,None
1750,005,Disaster Girl,Mi cara despues de incendiar la unefa Con todos lo militares adentro,None,None
1755,006,Filosoraptor,Si reciclas el celular... quedara en buzon de reciclaje?,None,None
1756,001,Ancient Aliens,esto es culpa de los aliens,None,None
1762,006,Filosoraptor,a veces quiero hacer gestion luego lo veo llegar tarde al srtario gral y se me pasa,None,None
1764,006,Filosoraptor,si reciclamos el wi,None,None
1766,001,Ancient Aliens,Y estampe mi ejercito... y mande millones a Nerviona...Pelotudo nooo lo siguiente,None,None
1768,013,Yao Wonka,que se siente que te enbauquen la casa... puta mierda,None,None
